Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,
12,SUMATERA UTARA,,,,,,,,,,,,,
12.01,1,KAB. TAPANULI TENGAH,,,,20,56,,159,"2.188,00",357.209,,,
12.01.01,,,,,1,Barus,2,,11,,,,,
12.01.01.1001,,,,,,1,Pasar Batu Gerigis,,,,,,,
12.01.01.1002,,,,,,2,Padang Masiang,,,,,,,
12.01.01.2003,,,,,,,,1,Kampung Solok,,,,,
12.01.01.2004,,,,,,,,2,Pasar Terandam,,,,,
12.01.01.2005,,,,,,,,3,Sigambo Gambo,,,,,
12.01.01.2006,,,,,,,,4,Ujung Batu,,,,,
12.01.01.2007,,,,,,,,5,Kinali,,,,,
12.01.01.2008,,,,,,,,6,Kampung Mudik,,,,,
12.01.01.2009,,,,,,,,7,Aek Dakka,,,,,
12.01.01.2010,,,,,,,,8,Patupangan,,,,,
12.01.01.2011,,,,,,,,9,Gabungan Hasang,,,,,
,,,,,,,,,Pananggahan,,,"Menjadi wil. Kec. Barus Utara, Perda No.8/2007",,
,,,,,,,,,Sihorbo,,,"Menjadi wil. Kec. Barus Utara, Perda No.8/2007",,
,,,,,,,,,Parik Sinomba,,,"Menjadi wil. Kec. Barus Utara, Perda No.8/2007",,
,,,,,,,,,Purba Tua,,,"Menjadi wil. Kec. Barus Utara, Perda No.8/2007",,
