Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,
14,RIAU,,,,,,,,,,,,,,
14.01,1,KAB. KAMPAR,,,,21,8,,,242,"10.983,47",740.839,,,
14.01.01,,,,,1,Bangkinang Kota,2,,,2,,,"Perubahan nama dari Kec. Bangkinang, sesuai Perda No. 8/2013",,
,,,,,,,,,Pulau Lawas,,,,"Menjadi wil. Kec. Bangkinang Seberang, Perda No 22/2003",,
,,,,,,,,,Muara Uwai,,,,"Menjadi wil. Kec. Bangkinang Seberang, Perda No 22/2003",,
,,,,,,,,Salo,,,,,"Menjadi wil. Kec. Salo, Perda No 22 / 2003",,
,,,,,,,,,Laboy Jaya,,,,"Menjadi wil. Kec. Bangkinang Seberang, Perda No 22/2003",,
,,,,,,,Suka Mulya,,,,,,"Menjadi wil. Kec. Bangkinang Seberang, Perda No. 22/2003",,
,,,,,,,,,Bukit Payung,,,,"Menjadi wil. Kec. Bangkinang Seberang, Perda No 22/2003",,
,,,,,,,,,Bukit Sembilan,,,,"Menjadi wil. Kec. Bangkinang Seberang, Perda No 22/2003",,
,,,,,,,,,Salo Timur,,,,"Menjadi wil. Kec. Salo, Perda No 22/2003",,
14.01.01.2009,,,,,,,,1,Kumantan,,,,,,
