Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,NOMOR,TAHUN,,,,,,,,,,,,,
,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,
,,JUMLAH,,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,
K O D E,NAMA PROVINSI /,,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,,D E S A,,(Km2),(Jiwa) *),,,
16,SUMATERA SELATAN,,,,,,,,,,,,,,
16.01,KAB. OGAN KOMERING ULU,,,,,13,14,,,143,"4.797,06",357.502,,,
,1,,,,,,,,,,,,Data luas wil. berdasarkan UU No.37/2003,,
,,,,,Muara Dua,,,,,,,,"Menjadi wil. Kab. OKU Selatan, UU No. 37 / 2003",,
,,,,,Pulau Beringin,,,,,,,,"Menjadi wil. Kab. OKU Selatan, UU No. 37 / 2003",,
,,,,,Banding Agung,,,,,,,,"Menjadi wil. Kab. OKU Selatan, UU No. 37 / 2003",,
,,,,,Muara Dua Kisam,,,,,,,,"Menjadi wil. Kab. OKU Selatan, UU No. 37 / 2003",,
,,,,,Simpang,,,,,,,,"Menjadi wil. Kab. OKU Selatan, UU No. 37 / 2003",,
,,,,,Martapura,,,,,,,,"Menjadi wil. Kab. OKU Selatan, UU No. 37 / 2003",,
16.01.07,,,,1,Sosoh Buay Rayap,,-,,,11,,,,,
16.01.07.2001,,,,,,,,1,Negeri Sindang,,,,,,
16.01.07.2002,,,,,,,,2,Rantau Kumpai,,,,,,
16.01.07.2003,,,,,,,,3,Lubuk Baru,,,,,,
16.01.07.2004,,,,,,,,4,Kungkilan,,,,,,
16.01.07.2005,,,,,,,,5,Penyandingan,,,,,,
