Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,
17,BENGKULU,,,,,,,,,,,,,,
17.01,1,KAB. BENGKULU SELATAN,,,,11,16,,,142,"1.186,10",164.237,,,
17.01.01,,,,,1,Kedurang,-,,,19,,,,,
17.01.01.2001,,,,,,,,1,Batu Ampar,,,,,,
17.01.01.2002,,,,,,,,2,Rantau Sialang,,,,,,
17.01.01.2003,,,,,,,,3,Bumi Agung,,,,,,
17.01.01.2004,,,,,,,,4,Palak Siring,,,,,,
17.01.01.2005,,,,,,,,5,Keban Agung I,,,,,,
17.01.01.2006,,,,,,,,6,Keban Agung II,,,,,,
17.01.01.2007,,,,,,,,7,Tanjung Alam,,,,,,
17.01.01.2008,,,,,,,,8,Tanjung Negara,,,,,,
17.01.01.2009,,,,,,,,9,Keban Agung III,,,,,,
17.01.01.2010,,,,,,,,10,Suka Nanti,,,,Perda No. 7/2007,,
17.01.01.2011,,,,,,,,11,Muara Tiga,,,,,,
17.01.01.2012,,,,,,,,12,Tanjung Besar,,,,,,
17.01.01.2013,,,,,,,,13,Pajar Bulan,,,,,,
17.01.01.2014,,,,,,,,14,Durian Sebatang,,,,,,
17.01.01.2015,,,,,,,,15,Lawang Agung,,,,,,
,,,,,,,,,Karang Caya,,,,Menjadi wil Kec Kedurang Ilir,,
