Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,,JUMLAH,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,,,
K O D E,,NAMA PROVINSI /,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,
,,KABUPATEN / KOTA,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,(Km2),(Jiwa) *),,,,,
18,LAMPUNG,,,,,,,,,,,,,,
18.01,1,KAB. LAMPUNG SELATAN,,,17,4,,256,"700,32",1.269.262,,,,,
,,,,,Padang Cermin,,,,,,"Menjadi wil. Kab. Pesawaran, UU No. 33/2007",,,,
,,,,,,,,,,,,,,,
Banjaran,,,,,,,,,,,,,,,
Bunut,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bunut Seberang,,,,,,,,,,,,,,,
Durian,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Gebang,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Gunung Rejo,,,,,,,,,,,,,,,
Hanura,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hurun,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hanau Berak,,,,,,,,,,,,,,,
Paya,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Padang Cermin,,,,,,,,,,,,,,,
Sanggi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sidodadi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sumber Jaya,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Suka Jaya Lempasing,,,,,,,,,,,,,,,
Tambangan,,,,,,,,,,,,,,,
