Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,
19,,KEPULAUAN BANGKA BELITUNG,,,,,,,,,,,,,
19.01,1,KAB. BANGKA,,,,8,19,,,62,"2.950,68",312.46,,,
19.01.01,,,,,1,Sungailiat,12,,,1,,,,,
19.01.01.1001,,,,,,1,Sungailiat,,,,,,,,
19.01.01.1002,,,,,,2,Sri Menanti,,,,,,,,
19.01.01.1003,,,,,,3,Kudai,,,,,,,,
19.01.01.1004,,,,,,4,Sinar Baru,,,,,,,,
19.01.01.1005,,,,,,5,Kenanga,,,,,,,,
19.01.01.1006,,,,,,6,Parit Padang,,,,,,,,
19.01.01.2007,,,,,,,,1,Rebo,,,,,,
19.01.01.1008,,,,,,7,Sinar Jaya Jelutung,,,,,,"Pemekaran sebagian wil. Kel.Sinar Baru, Perda No.11/2012",,
19.01.01.1009,,,,,,8,Matras,,,,,,"Pemekaran sebagian wil. Kel.Sinar Baru, Perda No.11/2012",,
19.01.01.1010,,,,,,9,Jelitik,,,,,,"Pemekaran sebagian wil. Kel.Sungai Liat, Perda No.11/2012",,
19.01.01.1011,,,,,,10,Surya Timur,,,,,,"Pemekaran sebagian wil. Kel.Sungai Liat, Perda No.11/2012",,
