Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,NOMOR,TAHUN,,,,,,,,,,,,,
,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,,
K O D E,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,
,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,,
21,KEPULAUAN RIAU,,,,,,,,,,,,,,
21.01,KAB. BINTAN,,,,10,15,,,36,"1.318,21",148.658,,,,
,1,,,,,,,,,,,"Perubahan Nama Kab. Kepri, PP No. 5/2006.",,,
,,,,,Singkep,,,,,,,"Menjadi Wil. Kab. Lingga, UU. No. 31/2003",,,
,,,,,Lingga,,,,,,,"Menjadi Wil. Kab. Lingga, UU. No. 31/2003",,,
,,,,,Senayang,,,,,,,"Menjadi Wil. Kab. Lingga, UU. No. 31/2003",,,
21.01.04,,,,1,Gunung Kijang,1,,,3,,,,,,
21.01.04.2001,,,,,,,1,Gunung Kijang,,,,,,,
21.01.04.2002,,,,,,,2,Malang Rapat,,,,,,,
21.01.04.2003,,,,,,,3,Teluk Bakau,,,,,,,
,,,,,,,Toapaya,,,,,"Menjadi wil. Kec. Toapaya, Perda No. 12/2007",,,
21.01.04.1005,,,,,1,Kawal,,,,,,Perda No. 12/2004,,,
,,,,,,,,Toapaya Utara,,,,"Perda No. 8/2005, Menjadi wil. Kec. Toapaya,  Perda No. 12/2007",,,
,,,,,,,,Toapaya Selatan,,,,"Perda No. 8/2005, Menjadi wil. Kec. Toapaya,  Perda No. 12/2007",,,
