Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,
32,,JAWA BARAT,,,,,,,,,,,,,
32.01,1,KAB. BOGOR,,,,40,19,,,416,"2.710,62",4.246.307,,,
32.01.01,,,,,1,Cibinong,13,,,-,,,,,
32.01.01.1001,,,,,,1,Pondok Rajeg,,,,,,,,
32.01.01.1002,,,,,,2,Karadenan,,,,,,,,
32.01.01.1003,,,,,,3,Harapanjaya,,,,,,,,
32.01.01.1004,,,,,,4,Nanggewer,,,,,,,,
32.01.01.1005,,,,,,5,Nanggewer Mekar,,,,,,,,
32.01.01.1006,,,,,,6,Cibinong,,,,,,,,
32.01.01.1007,,,,,,7,Pakansari,,,,,,,,
32.01.01.1008,,,,,,8,Tengah,,,,,,,,
32.01.01.1009,,,,,,9,Sukahati,,,,,,,,
32.01.01.1010,,,,,,10,Ciriung,,,,,,,,
32.01.01.1011,,,,,,11,Cirimekar,,,,,,,,
32.01.01.1012,,,,,,12,Pabuaran,,,,,,,,
32.01.01.1013,,,,,,13,Pabuaran Mekar,,,,,,"pemekaran wil Kel Pabuaran, Perda No 11/2015",,
32.01.02,,,,,2,Gunung Putri,-,,,10,,,,,
32.01.02.2001,,,,,,,,1,Wanaherang,,,,,,
32.01.02.2002,,,,,,,,2,Bojong Kulur,,,,,,
