Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,
62,KALIMANTAN TENGAH,,,,,,,,,,,,,,
62.01,1,KAB. KOTAWARINGIN BARAT,,,,6,13,,,81,"10.759,00",244.292,,,
62.01.01,,,,,1,Kumai,3,,,15,,,,,
62.01.01.2001,,,,,,,,1,Sungai Cabang,,,,,,
62.01.01.2002,,,,,,,,2,Teluk Pulai,,,,,,
62.01.01.2003,,,,,,,,3,Sabuai,,,Perbaikan nama sesuai Surat Pemprov Kalteng,,,
,,,,,,,,,,,,411.1/369/Dis-PMD/IV/2017 hal Revisi Nama-Nama Desa dan,,,
,,,,,,,,,,,,Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni,,,
,,,,,,,,,,,,2017,,,
62.01.01.2004,,,,,,,,4,Keraya,,,,,,
62.01.01.2005,,,,,,,,5,Teluk Bogam,,,,,,
62.01.01.2006,,,,,,,,6,Sungai Bakau,,,,,,
62.01.01.2007,,,,,,,,7,Kubu,,,,,,
62.01.01.2008,,,,,,,,8,Sungai Kapitan,,,,,,
62.01.01.2009,,,,,,,,9,Batu Belaman,,,,,,
62.01.01.2010,,,,,,,,10,Sungai Tendang,,,,,,
62.01.01.1011,,,,,,1,Candi,,,,,,,,
62.01.01.1012,,,,,,2,Kumai Hulu,,,,,,,,
