Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,,
63,,KALIMANTAN SELATAN,,,,,,,,,,,,,
63.01,1,KAB. TANAH LAUT,,,,11,5,,130,"3.631,35",344.73,,,,
63.01.01,,,,,1,Takisung,-,,12,,,,,,
63.01.01.2001,,,,,,,,1,Banua lawas,,,,,,
63.01.01.2002,,,,,,,,2,Tabanio,,,,,,
63.01.01.2003,,,,,,,,3,Kuala Tambangan,,,,,,
63.01.01.2004,,,,,,,,4,Takisung,,,,,,
63.01.01.2005,,,,,,,,5,Gunung Makmur,,,,,,
63.01.01.2006,,,,,,,,6,Banua Tengah,,,,,,
63.01.01.2007,,,,,,,,7,Ranggang,,,,,,
63.01.01.2008,,,,,,,,8,Pagatan Besar,,,,,,
63.01.01.2009,,,,,,,,9,Batilai,,,,,,
63.01.01.2010,,,,,,,,10,Ranggang Dalam,,,,,,
63.01.01.2011,,,,,,,,11,Telaga langsat,,,,,,
63.01.01.2012,,,,,,,,12,Sumber Makmur,,,,,,
63.01.02,,,,,2,Jorong,-,,11,,,,,,
63.01.02.2001,,,,,,,,1,Sabuhur,,,Perbaikan nama sesuai Surat Pemkab Tanah Laut BPMPD No.,,,
,,,,,,,,,,,,140/62/BPMPD/2016,,,
63.01.02.2002,,,,,,,,2,Jorong,,,,,,
