Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,NOMOR,TAHUN,,,,,,,,,,,,,
,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,,
K O D E,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,
,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,,
64,KALIMANTAN TIMUR,,,,,,,,,,,,,,
64.01,KAB. PASER,,,,10,5,,,139,"7.730,88",254.503,,,,
,1,,,,,,,,,,,"Perubahan Nama Kab. Pasir menjadi Paser, PP No. 49/2007,",,,
,,,,,,,,,,,,Perubahan nama Ibu Kota PP No. 7/2013,,,
64.01.01,,,,1,Batu Sopang,-,,,9,,,,,,
,,,,,,,,Tanjung Pinang,,,,Menjadi wil. Kec. Muara Samu,,,
,,,,,,,,Rantau Atas,,,,Menjadi wil. Kec. Muara Samu,,,
,,,,,,,,Libur Dinding,,,,Menjadi wil. Kec. Muara Samu,,,
,,,,,,,,Luan,,,,Menjadi wil. Kec. Muara Samu,,,
,,,,,,,,Suweto,,,,Menjadi wil. Kec. Muara Samu,,,
,,,,,,,,Muser,,,,Menjadi wil. Kec. Muara Samu,,,
,,,,,,,Biu,,,,,Menjadi wil. Kec. Muara Samu,,,
,,,,,,,,Rantau Bitungan,,,,Menjadi wil. Kec. Muara Samu,,,
64.01.01.2009,,,,,,,1,Samuranggau,,,,,,,
64.01.01.2010,,,,,,,2,Busui,,,,,,,
64.01.01.2011,,,,,,,3,Batu Kajang,,,,,,,
64.01.01.2012,,,,,,,4,Legai,,,,,,,
