Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,,JUMLAH,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,,,
K O D E,,NAMA PROVINSI /,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,
,,KABUPATEN / KOTA,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,(Km2),(Jiwa) *),,,,,
71,SULAWESI UTARA,,,,,,,,,,,,,,
71.01,1,KAB. BOLAANG MONGONDOW,,,15,2,,200,"2.871,65",246.282,,,,,
,,,,,Pinogaluman,,,,,,"Menjadi wil. Kab. Bolaang Mongondow Utara, UU No. 10/2007",,,,
,,,,,,,,,,,,,,,
Komus I,,,,,,,,,,,,,,,
Tuntung,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Batu Tajam,,,,,,,,,,,,,,,
Dalapuli,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Buko,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Dengi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Tombulang,,,,,,,,,,,,,,,
Tontulow,,,,,,,,,,,,,,,
Kayu Ogu,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kaidipang,"Menjadi wil. Kab. Bolaang Mongondow Utara, UU No. 10/2007",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Solo,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Boroko,,,,,,,,,,,,,,,
Bigo,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kuala,,,,,,,,,,,,,,,
Pontak,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
