Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,NOMOR,TAHUN,,,,,,,,,,,,,
,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,,
K O D E,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,
,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,,
72,SULAWESI TENGAH,,,,,,,,,,,,,,
72.01,KAB. BANGGAI,,,,23,46,,,291,"9.672,70",359.495,,,,
,1,,,,,,,,,,,Data luas wil. berdasarkan UU No.51/1999,,,
72.01.01,,,,1,Batui,7,,,6,,,,,,
,,,,,,,,Sinorang,,,,Menjadi wil Kec. Batui Selatan Perda no. 21/2009,,,
72.01.01.2002,,,,,,,1,Nonong,,,,,,,
72.01.01.2003,,,,,,,2,Kayowa,,,,,,,
,,,,,,,,Sukamaju,,,,Menjadi wil Kec. Batui Selatan Perda No. 21/2009,,,
72.01.01.2005,,,,,,,3,Ondo-Ondolu,,,,,,,
72.01.01.1006,,,,,1,Bugis,,,,,,,,,
72.01.01.1007,,,,,2,Balantang,,,,,,,,,
72.01.01.1008,,,,,3,Batui,,,,,,,,,
72.01.01.1009,,,,,4,Tolando,,,,,,,,,
72.01.01.1010,,,,,5,Lamo,,,,,,"Menjadi Kel., Perda No. 3/2008",,,
72.01.01.2011,,,,,,,4,Honbola,,,,,,,
72.01.01.2012,,,,,,,5,Uso,,,,,,,
,,,,,,,,Bonebalantak,,,,Menjadi wil Kec. Batui Selatan Perda no. 21/2009,,,
