Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,NOMOR,TAHUN,,,,,,,,,,,,,
,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,,
K O D E,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,
,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,,
73,SULAWESI SELATAN,,,,,,,,,,,,,,
73.01,KAB. KEPULAUAN SELAYAR,,,,11,7,,,81,"1.357,03",135.809,,,,
,1,,,,,,,,,,,Perubahan nama Kab PP. No. 59/2008,,,
73.01.01,,,,1,Benteng,3,,,-,,,,,,
73.01.01.1001,,,,,1,Benteng Utara,,,,,,,,,
73.01.01.1002,,,,,2,Benteng,,,,,,,,,
73.01.01.1003,,,,,3,Benteng Selatan,,,,,,,,,
73.01.02,,,,2,Bontoharu,2,,,6,,,,,,
73.01.02.1001,,,,,1,Putabangung,,,,,,,,,
73.01.02.1002,,,,,2,Bontobangung,,,,,,,,,
73.01.02.2003,,,,,,,1,Bontosunggu,,,,,,,
73.01.02.2004,,,,,,,2,Bontoborusu,,,,,,,
73.01.02.2005,,,,,,,3,Bontolebang,,,,,,,
73.01.02.2006,,,,,,,4,Bontotangnga,,,,,,,
73.01.02.2007,,,,,,,5,Kahu-Kahu,,,,,,,
73.01.02.2008,,,,,,,6,Kalepadang,,,,"Pemekaran Desa, Perda No. 3/2009",,,
73.01.03,,,,3,Bontomatene,2,,,10,,,,,,
73.01.03.1001,,,,,1,Batangmata,,,,,,,,,
73.01.03.1002,,,,,2,Batangmata Sapo,,,,,,,,,
