Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,
74,,SULAWESI TENGGARA,,,,,,,,,,,,,
74.01,1,KAB. KOLAKA,,,,12,35,,,100,"3.283,59",228.97,,,
74.01.01,,,,,1,Wundulako,6,,,5,,,,,
74.01.01.1001,,,,,,1,19 Nopember,,,,,,"Peningkatan status menjadi Kel, Perda NO. 7/2012",,
74.01.01.1002,,,,,,2,Wundulako,,,,,,,,
74.01.01.1003,,,,,,3,Lamekongga,,,,,,,,
74.01.01.1004,,,,,,4,Kowioha,,,,,,,,
74.01.01.1005,,,,,,5,Silea,,,,,,,,
74.01.01.2006,,,,,,,,1,Towua,,,,Perbaikan nama sesuai Surat Pemprov Sultra No. 136/1142 tgl 8,,
,,,,,,,,,,,,,Maret 2016,,
74.01.01.2007,,,,,,,,2,Bende,,,,,,
74.01.01.2008,,,,,,,,3,Unamendaa,,,,,,
74.01.01.2009,,,,,,,,4,Tikonu,,,,,,
74.01.01.2010,,,,,,,,5,Sabiona,,,,,,
74.01.01.1011,,,,,,6,Ngapa,,,,,,,,
,,,,,,Tirawuta,,,,,,,"Menjadi wil Kab. Kolaka Timur, sesuai UU No. 8 Tahun 2013",,
,,,,,,,,,Simbune,,,,,,
,,,,,,,Rate-rate,,,,,,,,
