Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,
76,SULAWESI BARAT,,,,,,,,,,,,,,
76.01,1,KAB. MAMUJU UTARA,,,,12,4,,,59,"3.043,75",208.325,,,
76.01.01,,,,,1,Bambalamotu,1,,,5,,,,,
,,,,,,,,,Sarjo,,,,"Menjadi wil. Kec. Sarjo, Perda No. 9/2007",,
,,,,,,,,,Bambaira,,,,"Menjadi wil. Kec. Bambaira, Perda No. 9/2007",,
76.01.01.2003,,,,,,,,1,Polewali,,,,,,
76.01.01.2004,,,,,,,,2,Randomayang,,,,,,
,,,,,,,,,Kasoloang,,,,"Menjadi wil. Kec. Bambaira, Perda No. 9/2007",,
76.01.01.1006,,,,,,1,Bambalamotu,,,,,,Menjadi Kel. Perda No. 8/2007,,
76.01.01.2007,,,,,,,,3,Pangiang,,,,Perda No. 3/2007,,
76.01.01.2008,,,,,,,,4,Kalola,,,,Perda No. 3/2007,,
76.01.01.2009,,,,,,,,5,Wulai,,,,Perda No. 3/2007,,
,,,,,,,,,Kaluku Nangka,,,,"Perda No. 3/2007, Menjadi wil. Kec. Bambaira, Perda No. 9/2007",,
,,,,,,,,,Tampaure,,,,"Perda No. 3/2007, Menjadi wil. Kec. Bambaira, Perda No. 9/2007",,
