Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,NOMOR,TAHUN,,,,,,,,,,,,,
,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,,
K O D E,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,
,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,,
81,MALUKU,,,,,,,,,,,,,,
81.01,KAB. MALUKU TENGAH,,,,18,6,,,186,"7.953,81",422.065,,,,
,1,,,,,,,,,,,"Data luas wil. berdasarkan GIS Pusat, 2007",,,
81.01.01,,,,1,Amahai,1,,,14,,,,,,
81.01.01.2001,,,,,,,1,Tamilouw,,,,,,,
81.01.01.2002,,,,,,,2,Sepa,,,,,,,
81.01.01.2003,,,,,,,3,Rutah,,,,,,,
81.01.01.2004,,,,,,,4,Soahuku,,,,,,,
81.01.01.2005,,,,,,,5,Amahai,,,,,,,
81.01.01.2006,,,,,,,6,Haruru,,,,,,,
81.01.01.2007,,,,,,,7,Sehati,,,,,,,
81.01.01.2008,,,,,,,8,Makariki,,,,,,,
81.01.01.1009,,,,,1,Hollo,,,,,,,,,
81.01.01.2010,,,,,,,9,Yafila,,,,,,,
81.01.01.2011,,,,,,,10,Banda Baru,,,,,,,
,,,,,,,,Waraka,,,,"Menjadi wil. Kec. Teluk Elpaputih, Perda No. 26/2007",,,
,,,,,,,,Awaiya,,,,,,,
,,,,,,,,Tananahu,,,,"Menjadi wil. Kec. Teluk Elpaputih, Perda No. 26/2007",,,
,,,,,,,,Liang,,,,"Menjadi wil. Kec. Teluk Elpaputih, Perda No. 26/2007",,,
