Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,,,
82,MALUKU UTARA,,,,,,,,,,,,,,,
82.01,1,KAB. HALMAHERA BARAT,,,,8,-,,169,"1.704,20",132.427,,,,,
82.01.01,,,,,1,Jailolo,-,,34,,,,,,,
82.01.01.2001,,,,,,,,1,Gufasa,,,,,,,
82.01.01.2002,,,,,,,,2,Guaimaadu,,,,,,,
82.01.01.2003,,,,,,,,3,Jalan Baru,,,,,,,
82.01.01.2004,,,,,,,,4,Gam Lamo,,,,,,,
82.01.01.2005,,,,,,,,5,Soakonora,,,,,,,
82.01.01.2006,,,,,,,,6,Galala,,,,,,,
82.01.01.2007,,,,,,,,7,Bobanehena,,,,,,,
82.01.01.2008,,,,,,,,8,Payo,,,,,,,
82.01.01.2009,,,,,,,,9,Bobo,,,,,,,
82.01.01.2010,,,,,,,,10,Saria,,,,,,,
82.01.01.2011,,,,,,,,11,Idam Dehe,,,,,,,
82.01.01.2012,,,,,,,,12,Idamdehe Gamsungi,,,,,,,
82.01.01.2013,,,,,,,,13,Marmabati,,,,,,,
82.01.01.2014,,,,,,,,14,Gamtala,,,,,,,
82.01.01.2015,,,,,,,,15,Lolory,,,,,,,
82.01.01.2016,,,,,,,,16,Toboso,,,,,,,
