Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,(Km2),(Jiwa) *),,,
91,P A P U A,,,,,,,,,,,,,,
91.01,1,KAB. MERAUKE,,,,20,11,,,179,"44.071,00",221.886,,,
91.01.01,,,,,1,Merauke,11,,,5,,,,,
91.01.01.2001,,,,,,,,1,Nasem,,,,,,
91.01.01.1002,,,,,,1,Samkai,,,,,,,,
91.01.01.1003,,,,,,2,Karang Indah,,,,,,,,
91.01.01.1004,,,,,,3,Mandala,,,,,,,,
91.01.01.1005,,,,,,4,Maro,,,,,,,,
91.01.01.1006,,,,,,5,Kelapa Lima,,,,,,,,
91.01.01.1007,,,,,,6,Rimba Jaya,,,,,,,,
,,,,,,,,,Kuler,,,,"Menjadi wil. Kec. Naukenjerai, Perda No. 2/2006",,
,,,,,,,,,Onggaya,,,,"Menjadi wil. Kec. Naukenjerai, Perda No. 2/2006",,
,,,,,,,,,Tomer,,,,"Menjadi wil. Kec. Naukenjerai, Perda No. 2/2006",,
,,,,,,,,,Tomerau,,,,"Menjadi wil. Kec. Naukenjerai, Perda No. 2/2006",,
,,,,,,,,,Kondo,,,,"Menjadi wil. Kec. Naukenjerai, Perda No. 2/2006",,
91.01.01.2013,,,,,,,,2,Wasur,,,,,,
91.01.01.1014,,,,,,7,Bambu Pemali,,,,,,,,
