Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,NOMOR,TAHUN,,,,,,,,,,,,,
,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,,,
K O D E,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,
,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,,,
92,PAPUA BARAT,,,,,,,,,,,,,,
92.01,KAB. SORONG,,,,30,26,,226,"6.544,23",118.985,,,,,
,1,,,,,,,,,,Luas Wil. hasil perhitungan BIG sesuai surat Nomor,,,,
,,,,,,,,,,,B/BIG/PBW/SV/11/2012 tanggal 5 Nopember 2012,,,,
92.01.01,,,,1,Makbon,1,,14,,,,,,,
92.01.01.1001,,,,,1,Makbon,,,,,Peningkatan status Kel. Perda No. 13/2007,,,,
92.01.01.2002,,,,,,,1,Asbaken,,,,,,,
,,,,,,,,Klayali,,,Menjadi wil kec. Klayili Perda No. 4/2009,,,,
92.01.01.2004,,,,,,,2,Malaumkarta,,,,,,,
92.01.01.2005,,,,,,,3,Batu Lubang,,,,,,,
,,,,,,,,Maladofok,,,Menjadi wil. Kec. Sayosa,,,,
92.01.01.2007,,,,,,,4,Batu Lubang Pantai,,,,,,,
92.01.01.2008,,,,,,,5,Kwadas,,,,,,,
92.01.01.2009,,,,,,,6,Bainkete,,,,,,,
92.01.01.2010,,,,,,,7,Teluk Dore,,,Pemekaran desa Perda No. 22/2008,,,,
92.01.01.2011,,,,,,,8,Sawatuk,,,Pemekaran desa Perda No. 22/2008,,,,
